Date,Open,High,Low,Close,Volume,news_count,news_indices
2024-02-02 10:30:00,,,,,0,2,"1079,1080"
2024-02-02 11:00:00,,,,,0,3,"1076,1077,1078"
2024-02-02 11:30:00,,,,,0,2,"1074,1075"
2024-02-02 12:00:00,,,,,0,2,"1072,1073"
2024-02-02 12:30:00,,,,,0,1,1071
2024-02-02 13:00:00,,,,,0,2,"1069,1070"
2024-02-02 13:30:00,,,,,0,1,1068
2024-02-02 14:00:00,,,,,0,0,
2024-02-02 14:30:00,,,,,0,3,"1065,1066,1067"
2024-02-02 15:00:00,,,,,0,4,"1061,1062,1063,1064"
2024-02-02 15:30:00,,,,,0,1,1060
2024-02-02 16:00:00,,,,,0,2,"1058,1059"
2024-02-02 16:30:00,181.537,183.686,181.408,182.467,0,2,"1056,1057"
2024-02-02 17:00:00,182.467,184.157,182.467,183.306,0,2,"1054,1055"
2024-02-02 17:30:00,183.307,185.927,183.166,185.637,0,0,
2024-02-02 18:00:00,185.657,187.136,185.107,187.007,0,1,1053
2024-02-02 18:30:00,186.997,187.087,185.846,186.317,0,3,"1050,1051,1052"
2024-02-02 19:00:00,186.327,187.086,186.166,186.998,0,0,
2024-02-02 19:30:00,187.016,187.107,185.117,185.267,0,0,
2024-02-02 20:00:00,185.306,186.117,184.846,186.026,0,1,1049
2024-02-02 20:30:00,186.026,186.227,185.648,185.917,0,2,"1047,1048"
2024-02-02 21:00:00,185.926,186.127,185.578,186.058,0,2,"1045,1046"
2024-02-02 21:30:00,186.077,186.987,186.076,186.976,0,1,1044
2024-02-02 22:00:00,186.987,187.046,186.444,186.727,0,1,1043
2024-02-02 22:30:00,186.727,186.786,186.178,186.627,0,3,"1040,1041,1042"
2024-02-02 23:00:00,,,,,0,0,
2024-02-02 23:30:00,,,,,0,1,1039
2024-02-03 00:00:00,,,,,0,1,1038
2024-02-03 00:30:00,,,,,0,0,
2024-02-03 01:00:00,,,,,0,0,
2024-02-03 01:30:00,,,,,0,1,1037
2024-02-03 02:00:00,,,,,0,0,
2024-02-03 02:30:00,,,,,0,0,
2024-02-03 03:00:00,,,,,0,0,
2024-02-03 03:30:00,,,,,0,0,
2024-02-03 04:00:00,,,,,0,0,
2024-02-03 04:30:00,,,,,0,0,
2024-02-03 05:00:00,,,,,0,1,1036
2024-02-03 05:30:00,,,,,0,0,
2024-02-03 06:00:00,,,,,0,0,
2024-02-03 06:30:00,,,,,0,0,
2024-02-03 07:00:00,,,,,0,0,
2024-02-03 07:30:00,,,,,0,0,
2024-02-03 08:00:00,,,,,0,0,
2024-02-03 08:30:00,,,,,0,0,
2024-02-03 09:00:00,,,,,0,0,
2024-02-03 09:30:00,,,,,0,0,
2024-02-03 10:00:00,,,,,0,0,
2024-02-03 10:30:00,,,,,0,0,
2024-02-03 11:00:00,,,,,0,0,
2024-02-03 11:30:00,,,,,0,0,
2024-02-03 12:00:00,,,,,0,1,1035
2024-02-03 12:30:00,,,,,0,0,
2024-02-03 13:00:00,,,,,0,2,"1033,1034"
2024-02-03 13:30:00,,,,,0,0,
2024-02-03 14:00:00,,,,,0,0,
2024-02-03 14:30:00,,,,,0,0,
2024-02-03 15:00:00,,,,,0,0,
2024-02-03 15:30:00,,,,,0,0,
2024-02-03 16:00:00,,,,,0,0,
2024-02-03 16:30:00,,,,,0,1,1032
2024-02-03 17:00:00,,,,,0,0,
2024-02-03 17:30:00,,,,,0,0,
2024-02-03 18:00:00,,,,,0,2,"1030,1031"
2024-02-03 18:30:00,,,,,0,0,
